state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp
W.P. Labuan,P.166 Labuan,2,Suhaili Bin Abdul Rahman,DATO' DR. SUHAILI ABDUL RAHMAN,61.0,male,bumiputera,Perikatan Nasional (PN),8124,1,won,1
Sabah,P.167 Kudat,4,Verdon Bin Bahanda,VERDON BIN BAHANDA,49.0,male,bumiputera,Independent (BEBAS),16323,1,won,1
Sabah,P.168 Kota Marudu,6,Wetrom Bin Bahanda, DATUK WETROM BAHANDA,52.0,male,bumiputera,Parti Kesejahteraan Demokratik Masyarakat (KDM),24318,1,won,1
Sabah,P.169 Kota Belud,3,Isnaraissah Munirah Bt Majilis@Fakharudy,MUNIRAH MAJILIS,40.0,female,bumiputera,Parti Warisan (WARISAN),25148,1,won,0
Sabah,P.170 Tuaran,1,Madius Bin Tangau,MADIUS TANGAU,64.0,male,bumiputera,Pakatan Harapan (PH),24943,1,won,0
Sabah,P.171 Sepanggar,4,Mustapha @ Mohd Yunus Bin Sakmud,MUSTAPHA SAKMUD,53.0,male,bumiputera,Pakatan Harapan (PH),27022,1,won,1
Sabah,P.172 Kota Kinabalu,4,Chan Foong Hin,CHAN FOONG HIN,43.0,male,chinese,Pakatan Harapan (PH),31359,1,won,0
Sabah,P.173 Putatan,2,Shahelmey Bin Yahya,SHAHELMEY BIN YAHYA,49.0,male,bumiputera,Barisan Nasional (BN),16234,1,won,1
Sabah,P.174 Penampang,1,Ewon Benedick,EWON BENEDICK,39.0,male,bumiputera,Pakatan Harapan (PH),29066,1,won,1
Sabah,P.175 Papar,6,Armizan Bin Mohd Ali,DATUK ARMIZAN BIN MOHD ALI,46.0,male,bumiputera,Gabungan Rakyat Sabah (GRS),22620,1,won,1
Sabah,P.176 Kimanis,1,Mohamad Bin Alamin,MOHAMAD BIN ALAMIN,50.0,male,bumiputera,Barisan Nasional (BN),13004,1,won,1
Sabah,P.177 Beaufort,5,Siti Aminah Binti Aching,DATUK SITI AMINAH BINTI ACHING,60.0,female,bumiputera,Barisan Nasional (BN),10570,1,won,1
Sabah,P.178 Sipitang,1,Matbali Bin Musah,DATUK MATBALI BIN MUSAH,53.0,male,bumiputera,Gabungan Rakyat Sabah (GRS),14459,1,won,1
Sabah,P.179 Ranau,2,Jonathan Bin Yasin,JONATHAN YASIN,55.0,male,bumiputera,Gabungan Rakyat Sabah (GRS),22606,1,won,0
Sabah,P.180 Keningau,3,Gapari Bin Katingan @ Geoffrey Kitingan,DATUK SERI PANGLIMA DR.JEFFREY G.KITINGAN,75.0,male,bumiputera,Gabungan Rakyat Sabah (GRS),23155,1,won,0
Sabah,P.181 Tenom,3,Riduan Bin Rubin,RIDUAN BIN RUBIN,35.0,male,bumiputera,Independent (BEBAS),10027,1,won,1
Sabah,P.182 Pensiangan,5,Arthur Joseph Kurup,DATUK ARTHUR JOSEPH KURUP,40.0,male,bumiputera,Barisan Nasional (BN),19623,1,won,0
Sabah,P.183 Beluran,4,Ronald Kiandee,RONALD KIANDEE,61.0,male,bumiputera,Perikatan Nasional (PN),11303,1,won,0
Sabah,P.184 Libaran,6,Suhaimi Bin Nasir,SUHAIMI BIN NASIR,54.0,male,bumiputera,Barisan Nasional (BN),22969,1,won,1
Sabah,P.185 Batu Sapi,5,Khairul Firdaus Bin Akbar Khan,KHAIRUL FIRDAUS AKBAR KHAN,39.0,male,bumiputera,Gabungan Rakyat Sabah (GRS),12152,1,won,1
Sabah,P.186 Sandakan,4,Vivian Wong Shir Yee,VIVIAN WONG SHIR YEE,33.0,female,chinese,Pakatan Harapan (PH),16673,1,won,1
Sabah,P.187 Kinabatangan,2,Moktar Bin Radin,BUNG MOKTAR BIN RADIN,63.0,male,bumiputera,Barisan Nasional (BN),16842,1,won,0
Sabah,P.188 Lahad Datu,2,Mohammad Yusof Bin Bin Apdal,DATO' HJ MOHAMMAD YUSOF BIN APDAL,62.0,male,bumiputera,Parti Warisan (WARISAN),27116,1,won,1
Sabah,P.189 Semporna,2,Mohd Shafie Bin Apdal,MOHD SHAFIE APDAL,65.0,male,bumiputera,Parti Warisan (WARISAN),28702,1,won,0
Sabah,P.190 Tawau,6,Lo Su Fui,LO SU FUI,41.0,male,chinese,Gabungan Rakyat Sabah (GRS),19865,1,won,1
Sabah,P.191 Kalabakan,2,Andi Muhammad Suryady Bin Bandy,ANDI MUHAMMAD SURYADY BIN BANDY,41.0,male,bumiputera,Barisan Nasional (BN),23855,1,won,1
Sarawak,P.192 Mas Gading,3,Mordi Anak Bimol,MORDI ANAK BIMOL,37.0,male,bumiputera,Democratic Action Party (DAP),17274,1,won,0
Sarawak,P.193 Santubong,1,Nancy Binti Shukri,NANCY SHUKRI,61.0,female,bumiputera,Gabungan Parti Sarawak (GPS),43739,1,won,0
Sarawak,P.194 Petra Jaya,1,Fadillah Bin Yusof,FADILLAH BIN YUSOF,60.0,male,bumiputera,Gabungan Parti Sarawak (GPS),54745,1,won,0
Sarawak,P.195 Bandar Kuching,3,Kelvin Yii Lee Wuen,KELVIN YII LEE WUEN,36.0,male,chinese,Democratic Action Party (DAP),45353,1,won,0
Sarawak,P.196 Stampin,1,Chong Chieng Jen,CHONG CHIENG JEN,51.0,male,chinese,Democratic Action Party (DAP),39310,1,won,0
Sarawak,P.197 Kota Samarahan,1,Rubiah Binti Wang,DATUK HJH RUBIAH BINTI WANG,54.0,female,bumiputera,Gabungan Parti Sarawak (GPS),42278,1,won,0
Sarawak,P.198 Puncak Borneo,1,Willie Anak Mongin,WILLIE ANAK MONGIN,47.0,male,bumiputera,Gabungan Parti Sarawak (GPS),29457,1,won,0
Sarawak,P.199 Serian,2,Richard Riot Anak Jaem,DATO' SRI RICHARD RIOT ANAK JAEM,71.0,male,bumiputera,Gabungan Parti Sarawak (GPS),22876,1,won,0
Sarawak,P.200 Batang Sadong,1,Rodiyah Binti Sapiee,RODIYAH BINTI SAPIEE,44.0,female,bumiputera,Gabungan Parti Sarawak (GPS),18668,1,won,1
Sarawak,P.201 Batang Lupar,1,Mohamad Shafizan Haji Kepli,MOHAMAD SHAFIZAN,37.0,male,bumiputera,Gabungan Parti Sarawak (GPS),19627,1,won,1
Sarawak,P.202 Sri Aman,1,Doris Sophia Anak Brodi,DORIS SOPHIA ANAK BRODI,62.0,female,bumiputera,Gabungan Parti Sarawak (GPS),14131,1,won,1
Sarawak,P.203 Lubok Antu,3,Roy Angau Anak Gingkoi,ROY ANGAU ANAK GINGKOI,43.0,male,bumiputera,Gabungan Parti Sarawak (GPS),6644,1,won,1
Sarawak,P.204 Betong,3,Richard Rapu @ Aman Anak Begri,DR. RICHARD RAPU,58.0,male,bumiputera,Gabungan Parti Sarawak (GPS),16479,1,won,1
Sarawak,P.205 Saratok,2,Ali Anak Biju,DATUK ALI BIJU,54.0,male,bumiputera,Perikatan Nasional (PN),19223,1,won,0
Sarawak,P.206 Tanjong Manis,1,Yusuf Bin Abd Wahab,IR. YUSUF ABD WAHAB,58.0,male,bumiputera,Gabungan Parti Sarawak (GPS),16474,1,won,0
Sarawak,P.207 Igan,1,Ahmad Johnie Bin Zawawi,AHMAD JOHNIE BIN ZAWAWI,60.0,male,bumiputera,Gabungan Parti Sarawak (GPS),15824,1,won,0
Sarawak,P.208 Sarikei,1,Huang Tiong Sii,HUANG TIONG SII,53.0,male,chinese,Gabungan Parti Sarawak (GPS),20080,1,won,1
Sarawak,P.209 Julau,3,Larry Soon @ Larry Sng Wei Shien,LARRY SOON @ LARRY SNG WEI SHIEN,43.0,male,chinese,Parti Bangsa Malaysia (PBM),9159,1,won,0
Sarawak,P.210 Kanowit,3,Ago Anak Dagang,AARON AGO ANAK DAGANG,63.0,male,bumiputera,Gabungan Parti Sarawak (GPS),7411,1,won,0
Sarawak,P.211 Lanang,3,Alice Lau Kiong Yieng,ALICE LAU KIONG YIENG,41.0,female,chinese,Democratic Action Party (DAP),30120,1,won,0
Sarawak,P.212 Sibu,1,Oscar Ling Chai Yew,OSCAR LING CHAI YEW,45.0,male,chinese,Democratic Action Party (DAP),31287,1,won,0
Sarawak,P.213 Mukah,1,Hanifah Hajar Taib,HANIFAH HAJAR TAIB,50.0,female,bumiputera,Gabungan Parti Sarawak (GPS),21733,1,won,0
Sarawak,P.214 Selangau,2,Edwin Anak Banta,EDWIN ANAK BANTA,57.0,male,bumiputera,Gabungan Parti Sarawak (GPS),16078,1,won,1
Sarawak,P.215 Kapit,1,Alexander Nanta Linggi,ALEXANDER NANTA LINGGI,64.0,male,bumiputera,Gabungan Parti Sarawak (GPS),16522,1,won,0
Sarawak,P.216 Hulu Rajang,2,Ugak Anak Kumbong,UGAK ANAK KUMBONG,60.0,male,bumiputera,Gabungan Parti Sarawak (GPS),15456,1,won,0
Sarawak,P.217 Bintulu,2,Tiong King Sing,DATO SRI TIONG KING SING,61.0,male,chinese,Gabungan Parti Sarawak (GPS),43455,1,won,0
Sarawak,P.218 Sibuti,1,Lukanisman Bin Awang Sauni,LUKANISMAN BIN AWANG SAUNI,40.0,male,bumiputera,Gabungan Parti Sarawak (GPS),22150,1,won,0
Sarawak,P.219 Miri,3,Chiew Choon Man,CHIEW CHOON MAN,31.0,male,chinese,Pakatan Harapan (PH),39549,1,won,1
Sarawak,P.220 Baram,1,Anyi Ngau,ANYI NGAU,64.0,male,bumiputera,Gabungan Parti Sarawak (GPS),18399,1,won,0
Sarawak,P.221 Limbang,2,Hasbi Bin Habibollah,HASBI BIN HABIBOLLAH,59.0,male,bumiputera,Gabungan Parti Sarawak (GPS),14897,1,won,0
Sarawak,P.222 Lawas,3,Henry Sum Agong,HENRY SUM AGONG,76.0,male,bumiputera,Gabungan Parti Sarawak (GPS),11361,1,won,0
